12/08/2018 15:38:52,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:38:54,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:39:07,zAlarmP GaragePass,contact,open,open
12/08/2018 15:39:11,zAlarmP GaragePass,contact,closed,closed
12/08/2018 15:39:28,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:39:34,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:39:36,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:39:44,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:39:50,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:39:52,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:40:01,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:40:03,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:40:41,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:40:48,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:41:10,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:41:19,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:41:21,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:41:25,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:41:27,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:41:30,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:41:32,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:41:36,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:41:43,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:41:50,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:42:02,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:42:05,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:42:20,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:42:23,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:42:32,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:42:36,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:42:56,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:43:08,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:43:10,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:43:12,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:43:20,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:43:24,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:43:26,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:43:31,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:43:55,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:43:57,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:44:03,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:44:05,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:44:11,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:44:13,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:48:32,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:48:39,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:49:15,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:49:17,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:49:21,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:49:23,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:58:30,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:58:36,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:58:54,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:59:00,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 15:59:08,zAlarmP Bottom Door,contact,open,open
12/08/2018 15:59:11,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 16:38:07,Front Door Light,switch,on,on
12/08/2018 16:38:08,Front Stoop Lights,switch,on,on
12/08/2018 17:05:59,zAlarmP Bottom Door,contact,open,open
12/08/2018 17:06:00,Bottom Door,lock,locked,locked
12/08/2018 17:06:02,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 17:06:18,zAlarmP GaragePass,contact,open,open
12/08/2018 17:06:20,zAlarmP GaragePass,contact,closed,closed
12/08/2018 17:06:23,zAlarmP GaragePass,contact,open,open
12/08/2018 17:06:25,zAlarmP GaragePass,contact,closed,closed
12/08/2018 17:06:52,zAlarmP Bottom Door,contact,open,open
12/08/2018 17:06:54,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 17:07:31,zAlarmP Bottom Door,contact,open,open
12/08/2018 17:07:37,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 17:07:52,zAlarmP Bottom Door,contact,open,open
12/08/2018 17:07:57,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 17:21:55,zAlarmP Bottom Door,contact,open,open
12/08/2018 17:22:00,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 17:22:02,zAlarmP Bottom Door,contact,open,open
12/08/2018 17:22:04,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 17:22:36,zAlarmP Bottom Door,contact,open,open
12/08/2018 17:22:40,zAlarmP Bottom Door,contact,closed,closed
12/08/2018 18:01:25,zAlarmP Upper Doors,contact,open,open
12/08/2018 18:01:27,zAlarmP Upper Doors,contact,closed,closed
12/08/2018 18:01:32,zAlarmP Upper Doors,contact,open,open
12/08/2018 18:02:29,zAlarmP Upper Doors,contact,closed,closed
12/08/2018 23:00:09,Front Door Light,switch,off,off
12/08/2018 23:00:09,Front Stoop Lights,switch,off,off
12/09/2018 2:30:23,zAlarmP Bottom Door,contact,open,open
12/09/2018 2:30:25,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 6:02:52,Garage Doors,contact,open,open
12/09/2018 6:02:56,zAlarmP GaragePass,contact,open,open
12/09/2018 6:03:01,zAlarmP GaragePass,contact,closed,closed
12/09/2018 6:34:13,Garage Doors,contact,closed,closed
12/09/2018 7:11:56,zAlarmP Upper Doors,contact,open,open
12/09/2018 7:12:00,zAlarmP Upper Doors,contact,closed,closed
12/09/2018 7:13:24,zAlarmP Upper Doors,contact,open,open
12/09/2018 7:13:28,zAlarmP Upper Doors,contact,closed,closed
12/09/2018 7:16:08,zAlarmP GaragePass,contact,open,open
12/09/2018 7:16:12,zAlarmP GaragePass,contact,closed,closed
12/09/2018 7:16:43,zAlarmP GaragePass,contact,open,open
12/09/2018 7:16:49,zAlarmP GaragePass,contact,closed,closed
12/09/2018 7:35:57,zAlarmP Bottom Door,contact,open,open
12/09/2018 7:36:02,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 7:36:04,zAlarmP Bottom Door,contact,open,open
12/09/2018 7:36:06,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 7:36:23,zAlarmP Bottom Door,contact,open,open
12/09/2018 7:36:27,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 7:41:52,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 8:36:51,zAlarmP Bottom Door,contact,open,open
12/09/2018 8:36:57,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 8:36:59,zAlarmP Bottom Door,contact,open,open
12/09/2018 8:37:01,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 8:37:10,zAlarmP Bottom Door,contact,open,open
12/09/2018 8:37:55,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 8:42:03,zAlarmP Upper Doors,contact,open,open
12/09/2018 8:42:13,zAlarmP Upper Doors,contact,closed,closed
12/09/2018 9:02:56,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:02:58,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 9:03:06,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:03:08,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 9:03:10,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:03:12,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 9:18:16,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:18:18,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 9:24:28,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:24:30,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 9:26:15,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:26:17,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 9:54:00,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:54:02,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 9:54:07,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:54:10,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 9:55:32,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:55:34,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 9:58:13,zAlarmP Bottom Door,contact,open,open
12/09/2018 9:58:15,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:03:10,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:03:12,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:03:40,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:03:42,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:05:06,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:05:08,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:06:15,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:06:17,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:07:41,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:07:43,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:08:47,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:08:49,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:09:14,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:09:18,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:09:23,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:09:25,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:09:32,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:09:34,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:09:41,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:09:43,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:15:51,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:15:53,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:16:07,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:16:10,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:16:12,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:16:14,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:16:16,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:16:18,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:16:21,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:16:23,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:16:52,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:16:54,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:16:57,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:16:59,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:17:01,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:17:04,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:17:58,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:18:00,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:18:07,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:18:09,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:18:14,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:18:17,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:19:06,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:19:08,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 10:19:58,zAlarmP Bottom Door,contact,open,open
12/09/2018 10:20:00,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 11:23:57,zAlarmP GaragePass,contact,open,open
12/09/2018 11:23:57,Garage Doors,contact,open,open
12/09/2018 11:24:04,zAlarmP GaragePass,contact,closed,closed
12/09/2018 11:24:35,Garage Doors,contact,closed,closed
12/09/2018 13:13:00,Garage Doors,contact,open,open
12/09/2018 13:13:35,Garage Doors,contact,closed,closed
12/09/2018 13:13:49,zAlarmP GaragePass,contact,open,open
12/09/2018 13:13:55,zAlarmP GaragePass,contact,closed,closed
12/09/2018 13:24:28,Bottom Door,lock,unlocked,unlocked
12/09/2018 13:24:29,zAlarmP Bottom Door,contact,open,open
12/09/2018 13:24:39,Bottom Door,lock,locked,locked
12/09/2018 13:24:39,zAlarmP Bottom Door,contact,closed,closed
12/09/2018 16:16:36,zAlarmP Upper Doors,contact,open,open
12/09/2018 16:16:40,zAlarmP Upper Doors,contact,closed,closed
12/09/2018 16:17:21,Front Door,lock,unlocked,unlocked
12/09/2018 16:17:53,Front Door,lock,locked,locked
12/09/2018 16:38:16,Front Door Light,switch,on,on
12/09/2018 16:38:16,Front Stoop Lights,switch,on,on
12/09/2018 17:20:33,Garage Doors,contact,open,open
12/09/2018 17:21:29,zAlarmP GaragePass,contact,open,open
12/09/2018 17:21:33,zAlarmP GaragePass,contact,closed,closed
12/09/2018 17:21:41,Garage Doors,contact,closed,closed
12/09/2018 17:46:32,zAlarmP GaragePass,contact,open,open
12/09/2018 17:46:52,zAlarmP GaragePass,contact,closed,closed
12/09/2018 18:30:47,Bottom Door,lock,unlocked,unlocked
12/09/2018 18:30:48,Bottom Door,lock,locked,locked
12/09/2018 20:28:42,Back Door Light,activity,offline,offline
12/09/2018 21:34:43,Back Door Light,activity,online,online
12/09/2018 23:00:06,Front Stoop Lights,switch,off,off
12/09/2018 23:00:08,Front Door Light,switch,off,off
12/10/2018 0:09:29,zAlarmP Bottom Door,contact,open,open
12/10/2018 0:09:37,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 0:09:40,zAlarmP Bottom Door,contact,open,open
12/10/2018 0:09:42,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 0:10:05,zAlarmP Bottom Door,contact,open,open
12/10/2018 0:10:07,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 1:17:28,zAlarmP Bottom Door,contact,open,open
12/10/2018 1:17:33,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 1:17:35,zAlarmP Bottom Door,contact,open,open
12/10/2018 1:17:37,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 1:53:42,Back Door Light,activity,offline,offline
12/10/2018 2:00:10,zAlarmP Bottom Door,contact,open,open
12/10/2018 2:00:12,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 2:25:42,Back Door Light,activity,online,online
12/10/2018 3:00:35,zAlarmP Bottom Door,contact,open,open
12/10/2018 3:00:37,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 3:00:40,zAlarmP Bottom Door,contact,open,open
12/10/2018 3:00:42,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 3:00:44,zAlarmP Bottom Door,contact,open,open
12/10/2018 3:00:46,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 3:01:15,zAlarmP Bottom Door,contact,open,open
12/10/2018 3:01:18,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 3:01:20,zAlarmP Bottom Door,contact,open,open
12/10/2018 3:01:22,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 3:09:12,zAlarmP Bottom Door,contact,open,open
12/10/2018 3:09:14,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 4:00:52,zAlarmP Bottom Door,contact,open,open
12/10/2018 4:01:03,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 4:01:05,zAlarmP Bottom Door,contact,open,open
12/10/2018 4:01:07,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 4:03:27,Back Door Light,activity,offline,offline
12/10/2018 4:18:18,zAlarmP Bottom Door,contact,open,open
12/10/2018 4:18:20,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 4:35:28,Back Door Light,activity,online,online
12/10/2018 4:51:03,zAlarmP Bottom Door,contact,open,open
12/10/2018 4:51:05,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 5:08:40,Back Door Light,activity,offline,offline
12/10/2018 5:51:34,zAlarmP Bottom Door,contact,open,open
12/10/2018 5:51:37,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 6:07:11,zAlarmP Bottom Door,contact,open,open
12/10/2018 6:07:13,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 6:22:14,zAlarmP Bottom Door,contact,open,open
12/10/2018 6:22:18,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 6:52:41,Back Door Light,activity,online,online
12/10/2018 8:34:31,Back Door Light,activity,offline,offline
12/10/2018 8:47:58,Bottom Door,lock,unlocked,unlocked
12/10/2018 8:48:03,zAlarmP Bottom Door,contact,open,open
12/10/2018 8:48:24,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 8:48:25,Bottom Door,lock,locked,locked
12/10/2018 9:06:37,Back Door Light,activity,online,online
12/10/2018 9:17:11,zAlarmP Upper Doors,contact,open,open
12/10/2018 9:17:16,zAlarmP Upper Doors,contact,closed,closed
12/10/2018 9:18:31,Bottom Door,lock,unlocked,unlocked
12/10/2018 9:18:32,zAlarmP Bottom Door,contact,open,open
12/10/2018 9:18:37,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 9:39:43,Back Door Light,activity,offline,offline
12/10/2018 10:11:44,Back Door Light,activity,online,online
12/10/2018 10:44:54,Back Door Light,activity,offline,offline
12/10/2018 10:49:35,zAlarmP Bottom Door,contact,open,open
12/10/2018 10:49:40,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 10:51:07,zAlarmP Bottom Door,contact,open,open
12/10/2018 10:51:12,zAlarmP Bottom Door,contact,closed,closed
12/10/2018 11:51:01,Back Door Light,activity,online,online
12/10/2018 12:04:06,Garage Doors,contact,open,open
12/10/2018 12:06:28,zAlarmP Upper Doors,contact,open,open
12/10/2018 12:06:37,zAlarmP Upper Doors,contact,closed,closed
12/10/2018 12:06:44,Camera Driveway,motion,active,active
12/10/2018 12:07:14,Camera Driveway,motion,inactive,inactive
12/10/2018 12:07:15,Garage Doors,contact,closed,closed
12/10/2018 12:24:04,Back Door Light,activity,offline,offline
12/10/2018 12:56:19,Driveway Lights,activity,hubDisconnected,hubDisconnected
12/10/2018 12:56:19,Front Door Light,activity,hubDisconnected,hubDisconnected
12/10/2018 12:56:19,Front Stoop Lights,activity,hubDisconnected,hubDisconnected
12/10/2018 12:56:52,Driveway Lights,activity,online,online
